Nama,Rating,Location,Entrance Fee
Pantai Melasti,4.5,"Jl. Melasti Ungasan, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 803.061",8000
Pantai Nusa Dua,4,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia",0
Pantai Padang Padang,4,"Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",5000
Pantai Pandawa,4,"Desa Kutuh, Kecamatan Kuta Selatan, Kabupaten Badung",8000
Pantai Pasih Uug,4.5,"Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali",0
Pantai Pasir Putih,4,"Sengkidu, Kec. Manggis, Kabupaten Karangasem, Bali 80813.0",0
Pura Puseh Batuan,4,"Jl. Raya Batuan, Batuan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",10000
Pantai Sanur,4,"Jalan Kusuma Sari No. 1, Sanur, Denpasar Selatan, Kota Denpasar Bali",0
Pantai Seminyak,4.5,"Seminyak, Kec. Kuta, Kabupaten Badung, Bali",0
Pantai Waterblow,4,"Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 803.063.0",0
Pasar Seni Tradisional Ubud,3.5,"Jl. Raya and Monkey Forest Road, Ubud 80571 Indonesia",0
Pura Besakih,3.5,"Jl. Gunung Mas No.Ds, Besakih, Kec. Rendang, Kabupaten Karangasem, Bali 80863.0",300
Pura Candi Tebing Gunung Kawi Sebatu,4.5,"Br penaka, Tampaksiring, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",300
Pura Kehen,4.5,"Jl. Sriwijaya No.8, Cempaga, Kec. Bangli, Kabupaten Bangli, Bali 80613.0",10000
Pura Lempuyang,4,"Jl. Pura Telaga Mas Lempuyang, Tri Buana, Kec. Abang, Kabupaten Karangasem, Bali 80852",50000
Pura Luhur Batukaru,4.5,"Jl. Penatahan - Wongayagede, Wongaya Gede, Kec. Penebel, Kabupaten Tabanan, Bali 85125",15000
Pura Saraswati,4,"Jl. Kajeng, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0
Pura Taman Ayun,4,"Jl. Ayodya No.10, Mengwi, Kec. Mengwi, Kabupaten Badung, Bali 803.51",15000
Pura Tanah Lot,4,"Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121",15000
Pura Tirta Empul,4.5,"Jl. Tirta, Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",300
Pura Uluwatu,4,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 803.061 Indonesia",50000
Pusat Kesenian Ukir Desa Mas,4,"Desa Mas, Ubud, Kabupaten Gianyar, Bali.",0
Watersport Tanjung Benoa Bali,3.5,"Jl. Segara Lor No.15, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 803.061",0
"Tari Barong dan Keris
",3.5,"Jl. Raya Batubulan No.295X, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",100000
Kecak and Fire Dance,4,"Kawasan parkir Pura Uluwatu, Jl. Uluwatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 803.061",150000
Teras Sawah Tegalalang,4,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",10000
Tirta Gangga,4.5,"Jalan Raya Abang Desa Adat, Ababi, Kec. Abang, Kabupaten Karangasem, Bali 80852",25000
Waterbom Bali,4.5,"Jl. Kartika Plaza, Tuban, Kec. Kuta, Kabupaten Badung, Bali 803.061",289000
Alas Harum Agro Tourism,4,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",10000
Wisata Agro Teba Sari Bali,4,"Jl. Tegal Utu, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0
