Nama,Ratings,Foto,Makanan,Location
Wr. Zaenah Renon,4.3,https://lh5.googleusercontent.com/p/AF1QipOK9jC78Ij3GCr-iafNKgk-cHkDKsZB9JzmLK4b=w122-h92-k-no,Halal,"Jl. Letda Tantular No.41B, Dangin Puri Klod, Kec. Denpasar Tim., Kota Denpasar, Bali 80232"
Warung Halal Kuta,4.1,https://lh5.googleusercontent.com/p/AF1QipNm7z2yLkt0A1Nz66oq8QIospcKrrrj9nRhhClH=w80-h106-k-no,Halal,"Jl. Dewi Sri No.11B, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Muslim Mayang Mekar,4.1,https://lh5.googleusercontent.com/p/AF1QipOeWdIqECPZsqZZ-5ar--fmq414CIodcveQz6I8=w80-h106-k-no,Halal,"Jl. Gn. Athena No.2, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117"
Lalapan Cak Nul Muslim,4.9,https://lh5.googleusercontent.com/p/AF1QipPkXclhVdUKyetmCGyEfe2P7_d9e2TLmdjM6yQF=w122-h92-k-no,Halal,"Jl. Labak Indah Jl. Pura Demak Barat, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119"
warung muslim jawa timur bondowoso,4.5,https://lh5.googleusercontent.com/p/AF1QipNrg4Jgy31qM7KFCY3oRNAKXdV6EhzB1bOkkULF=w122-h92-k-no,Halal,"Jl. Raya Tiyingtutul , Pererenan, Mengwi, Tiying tutul, Kec. Kuta Utara, Kabupaten Badung, Bali 80351"
Al Diwan Lebanese Cuisine,4.2,https://lh5.googleusercontent.com/p/AF1QipNiD2FmN3c7a0QFn2U8bBfLaxn6B8nl74SYZMEj=w92-h92-k-no,Halal,"Jl. Petitenget No.99X, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361"
Warung Makan Nikmat halal,4.5,https://lh5.googleusercontent.com/p/AF1QipPpCxMZCWInLlu8J1qrDs2F_DX0gg_Ndks2CGgc=w122-h92-k-no,Halal,"Gg. Biduri No.6A, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361"
Rumah Makan Kedaton,4.4,https://lh5.googleusercontent.com/p/AF1QipP5lgFOqcnCNqeQKMMvJa3GPmL6Tp3Jwx8e8qHX=w122-h92-k-no,Halal,"Jl. Hayam Wuruk No.95, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80236"
Warung Muslim Bu Vicky Banyuwangi Sidodadi,4,https://lh5.googleusercontent.com/p/AF1QipPn6GdXrUijC9TagFSyiQNv0v-_xJxgY8R2BY8l=w122-h92-k-no,Halal,"Jl. Gn. Resimuka No.1B, Tegal Kertha, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
Warung banyuwangi Muslim Ibu Linda,5,https://lh5.googleusercontent.com/p/AF1QipMEkymdSSh0IbKslGTZr2y2zrrP738Z4_bP83Lr=w163-h92-k-no,Halal,"Jl. Buana Raya No.44, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119"
Warung Nasi Ayam Bu Weti,4.4,https://lh5.googleusercontent.com/p/AF1QipOHKbWmrj7mK7CbeD41KJTyfqOcrYabsfn-aG5r=w163-h92-k-no,Halal,"Jl. Segara Ayu, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80227"
Ayam Bakar Wong Solo Denpasar,4.3,https://lh5.googleusercontent.com/p/AF1QipM-orAPYECZllJGxN7CjVL9iWhPq7y_-L2ccMML=w163-h92-k-no,Halal,"Jl. Merdeka No.18, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80239"
Warung Surya,4.4,https://lh5.googleusercontent.com/p/AF1QipP9EfbAYSC-SZthPjGk1VXNXnXE22bAZ9fWfyZP=w163-h92-k-no,Halal,"Jl. Mahendradatta Selatan No.32, Tegal Harum, Kec. Denpasar Bar., Kota Denpasar, Bali 80119"
Warung banyuwangi mbak lisa (aneka lalapan&chinesfood halal),5,https://lh5.googleusercontent.com/p/AF1QipNe8RQtH4PC5VaEshgOmsKYKvJNzx46GL0wLIE=w122-h92-k-no,Halal,"Jl. Bunut Sari No.5, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Muslim,4.6,https://lh5.googleusercontent.com/p/AF1QipPFIhmilKFwk_ZL2lxQuTSQ5gW7Xb1e3ojOoddf=w194-h92-k-no,Halal,"Jl. Batu Pageh, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Wardani,4.4,https://lh5.googleusercontent.com/p/AF1QipP5w35pr4LEstzBq0VuLmkJbXl8ZSPi0LUJ9ro=w122-h92-k-no,Halal,"Jl. Yudistira No.2, Dangin Puri Kauh, Kec. Denpasar Utara, Kota Denpasar, Bali 80232"
Warung Muslim Bu Gatot,4.6,https://lh5.googleusercontent.com/p/AF1QipNHfw6W-304-fKi14LBh2MwIu-lAX8jfxyrD9Ie=w163-h92-k-no,Halal,"Jl. Serma Made Pil No.26, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80234"
JEBAK ( Jejak Bali Kuliner),4.3,https://lh5.googleusercontent.com/p/AF1QipOxF3__QvO_Qks_tYATGIyUnDQL_DE3qGJbChFf=w80-h106-k-no,Halal,"Jl. Teuku Umar No.212, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
Bakso Andika Muslim,5,https://lh5.googleusercontent.com/p/AF1QipNwhPvnUzPSQ0UzzcLayZeUW0R0wEJmkPwjMtM0=w122-h92-k-no,Halal,"No., Jl. Pulau Seram No.1, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
Warung Nasi Tekor Bali,4.7,https://lh5.googleusercontent.com/p/AF1QipOP2feYgJUZ_GlQi2KvSohvStBJ7Z0XzG5vZzVy=w122-h92-k-no,Halal,"Kawasan Desa Budaya Kertalangu, Jl. By Pass Ngurah Rai Tohpati No.28, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237"
Warung Muslim Sederhana,4.5,https://lh5.googleusercontent.com/p/AF1QipPF60ruC5E-8vLGzcGnnxYUrCE8jl8fjGbNoQTR=w163-h92-k-no,Halal,"Jl. Prof. Dr. Ida Bagus Mantra No.231, Saba, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581"
Sobat Muslim,5,https://lh5.googleusercontent.com/p/AF1QipPZPko0Cj2Ld6Xkfv9_RKdVYEaJ3NutUWzBFOK3=w92-h92-k-no,Halal,"Jl. Diponegoro No.150, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80232"
Nasi Campur Bu Fauziah,4.2,https://lh5.googleusercontent.com/p/AF1QipP6ITrNUiRPZcE7J6qPmyn_BeKXMe6PYUUJ9mXS=w204-h92-k-no,Halal,"Jl. Nusa Kambangan, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
Warung Lalapan Mbak Anik Jawa Muslim,4.7,https://lh5.googleusercontent.com/p/AF1QipMxB8TN_jSoQ33gGcwmY3kKlQwLX_qle7BUts1m=w80-h106-k-no,Halal,"Jl. Dukuh Sari, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223"
